config,bar_size,horizon,target_type,n_trades,win_rate,total_net_return,avg_net_return,sharpe,profit_factor,max_drawdown,avg_hold_bars,final_equity
5min_h1_binary,5min,1,binary,29012,0.0586,-227.83461,-0.007853,-331.698,0.04,-22.7878,9.0,-217834.61
5min_h1_magnitude_0.001,5min,1,magnitude_0.001,20836,0.0921,-156.454338,-0.007509,-215.895,0.059,-15.677,5.9,-146454.34
5min_h1_magnitude_0.002,5min,1,magnitude_0.002,6267,0.2023,-44.374124,-0.007081,-88.332,0.16,-4.4339,5.4,-34374.12
5min_h1_regression,5min,1,regression,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
5min_h3_binary,5min,3,binary,22526,0.0633,-177.132679,-0.007863,-278.484,0.045,-17.7187,9.4,-167132.68
5min_h3_magnitude_0.001,5min,3,magnitude_0.001,10162,0.0801,-77.543778,-0.007631,-194.274,0.043,-7.7637,8.4,-67543.78
5min_h3_magnitude_0.002,5min,3,magnitude_0.002,4489,0.153,-33.879411,-0.007547,-89.735,0.085,-3.3889,8.1,-23879.41
5min_h3_regression,5min,3,regression,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
5min_h5_binary,5min,5,binary,12913,0.0705,-99.912925,-0.007737,-200.465,0.052,-10.0004,9.6,-89912.92
5min_h5_magnitude_0.001,5min,5,magnitude_0.001,7927,0.0814,-61.62041,-0.007773,-164.587,0.052,-6.1645,9.1,-51620.41
5min_h5_magnitude_0.002,5min,5,magnitude_0.002,6044,0.1436,-46.51517,-0.007696,-115.107,0.09,-4.6601,8.9,-36515.17
5min_h5_regression,5min,5,regression,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
5min_h10_binary,5min,10,binary,5626,0.115,-42.968158,-0.007637,-118.779,0.087,-4.3039,18.7,-32968.16
5min_h10_magnitude_0.001,5min,10,magnitude_0.001,3335,0.1664,-25.360871,-0.007604,-67.197,0.137,-2.5369,18.8,-15360.87
5min_h10_magnitude_0.002,5min,10,magnitude_0.002,4584,0.2188,-32.834634,-0.007163,-63.199,0.191,-3.2924,17.3,-22834.63
5min_h10_regression,5min,10,regression,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
5min_h15_binary,5min,15,binary,4682,0.1275,-36.393374,-0.007773,-98.36,0.101,-3.6433,25.8,-26393.37
5min_h15_magnitude_0.001,5min,15,magnitude_0.001,2813,0.1603,-21.519887,-0.00765,-64.647,0.125,-2.1528,27.6,-11519.89
5min_h15_magnitude_0.002,5min,15,magnitude_0.002,748,0.2286,-5.912511,-0.007904,-65.565,0.157,-0.5909,28.1,4087.49
5min_h15_regression,5min,15,regression,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
5min_h30_binary,5min,30,binary,340,0.2147,-2.600282,-0.007648,-11.797,0.381,-0.2701,59.4,7399.72
5min_h30_magnitude_0.001,5min,30,magnitude_0.001,595,0.2403,-3.180546,-0.005345,-14.62,0.392,-0.3779,55.7,6819.45
5min_h30_magnitude_0.002,5min,30,magnitude_0.002,601,0.2246,-5.137487,-0.008548,-51.357,0.188,-0.5128,53.1,4862.51
5min_h30_regression,5min,30,regression,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
