config,bar_size,horizon,target_type,n_trades,win_rate,total_net_return,avg_net_return,sharpe,profit_factor,max_drawdown,avg_hold_bars,final_equity,score
4h_h30_binary,4h,30,binary,165,0.6667,3.151122,0.019098,6.141,2.409,-0.0707,35.6,13151.12,14.793669
4h_h30_magnitude_0.001,4h,30,magnitude_0.001,177,0.678,3.243192,0.018323,6.101,2.241,-0.071,32.9,13243.19,13.672341000000001
4h_h30_magnitude_0.002,4h,30,magnitude_0.002,179,0.6425,3.094542,0.017288,5.887,2.267,-0.0694,33.0,13094.54,13.345828999999998
4h_h15_magnitude_0.001,4h,15,magnitude_0.001,354,0.5678,2.251675,0.006361,4.083,1.479,-0.1823,20.2,12251.68,6.038757
4h_h15_binary,4h,15,binary,399,0.5363,2.371215,0.005943,4.061,1.453,-0.1762,18.3,12371.22,5.900633
4h_h30_regression,4h,30,regression,159,0.522,2.073294,0.01304,3.574,1.588,-0.1361,37.3,12073.29,5.675512
4h_h10_binary,4h,10,binary,424,0.5189,2.21223,0.005218,3.552,1.342,-0.1431,17.2,12212.23,4.766784
4h_h15_magnitude_0.002,4h,15,magnitude_0.002,394,0.5178,1.605915,0.004076,2.838,1.298,-0.1669,17.2,11605.92,3.683724
4h_h10_magnitude_0.002,4h,10,magnitude_0.002,492,0.5061,1.449437,0.002946,2.049,1.189,-0.147,13.8,11449.44,2.436261
4h_h10_regression,4h,10,regression,71,0.5352,0.236002,0.003324,1.821,1.194,-0.0463,17.6,10236.0,2.174274
