config,bar_size,horizon,target_type,features,params_idx,n_trades,win_rate,total_net_return,sharpe,profit_factor,max_drawdown,final_equity
4h_h30_binary_base_p0,4h,30,binary,base,0,157,0.6943,3.617564,8.394,3.986,-0.0472,13617.56
4h_h30_binary_base_p1,4h,30,binary,base,1,124,0.7097,3.631482,8.92,4.773,-0.0472,13631.48
4h_h30_binary_base_p2,4h,30,binary,base,2,163,0.6135,3.219724,7.446,3.095,-0.0486,13219.72
4h_h30_binary_base_p3,4h,30,binary,base,3,127,0.7165,3.523065,8.519,4.121,-0.0543,13523.07
4h_h30_binary_base_p4,4h,30,binary,base,4,155,0.6516,3.297769,7.594,3.266,-0.0486,13297.77
4h_h30_binary_ta_p0,4h,30,binary,ta,0,152,0.6053,3.501566,7.413,3.155,-0.0513,13501.57
4h_h30_binary_ta_p1,4h,30,binary,ta,1,94,0.7447,3.44529,8.583,4.443,-0.0472,13445.29
4h_h30_binary_ta_p2,4h,30,binary,ta,2,135,0.7407,4.458993,9.02,4.287,-0.0514,14458.99
4h_h30_binary_ta_p3,4h,30,binary,ta,3,106,0.7453,3.544947,8.615,4.373,-0.0472,13544.95
4h_h30_binary_ta_p4,4h,30,binary,ta,4,122,0.6393,3.0345,7.18,3.333,-0.0543,13034.5
4h_h30_binary_more_lags_p0,4h,30,binary,more_lags,0,56,0.6071,1.817318,4.54,2.624,-0.0542,11817.32
4h_h30_binary_more_lags_p1,4h,30,binary,more_lags,1,54,0.5741,1.579047,3.765,2.175,-0.0542,11579.05
4h_h30_binary_more_lags_p2,4h,30,binary,more_lags,2,193,0.4301,1.017579,2.201,1.356,-0.0887,11017.58
4h_h30_binary_more_lags_p3,4h,30,binary,more_lags,3,48,0.625,1.798347,4.644,2.806,-0.0472,11798.35
4h_h30_binary_more_lags_p4,4h,30,binary,more_lags,4,127,0.5669,2.756367,6.642,3.039,-0.041,12756.37
4h_h30_binary_ta+lags_p0,4h,30,binary,ta+lags,0,81,0.6173,1.793878,4.109,2.187,-0.0472,11793.88
4h_h30_binary_ta+lags_p1,4h,30,binary,ta+lags,1,122,0.6148,2.625385,6.126,2.873,-0.0472,12625.38
4h_h30_binary_ta+lags_p2,4h,30,binary,ta+lags,2,88,0.5682,1.812298,4.134,2.19,-0.0472,11812.3
4h_h30_binary_ta+lags_p3,4h,30,binary,ta+lags,3,76,0.6053,1.936031,4.702,2.591,-0.048,11936.03
4h_h30_binary_ta+lags_p4,4h,30,binary,ta+lags,4,89,0.4607,1.572,3.683,1.972,-0.0543,11572.0
4h_h30_magnitude_0.001_base_p0,4h,30,magnitude_0.001,base,0,141,0.6383,3.496942,8.008,3.884,-0.0395,13496.94
4h_h30_magnitude_0.001_base_p1,4h,30,magnitude_0.001,base,1,137,0.6642,3.588173,8.249,3.888,-0.0381,13588.17
4h_h30_magnitude_0.001_base_p2,4h,30,magnitude_0.001,base,2,145,0.6759,3.688348,8.364,3.861,-0.0395,13688.35
4h_h30_magnitude_0.001_base_p3,4h,30,magnitude_0.001,base,3,132,0.697,3.5564,8.143,3.876,-0.04,13556.4
4h_h30_magnitude_0.001_base_p4,4h,30,magnitude_0.001,base,4,144,0.5278,2.818425,6.198,2.741,-0.0444,12818.43
4h_h30_magnitude_0.001_ta_p0,4h,30,magnitude_0.001,ta,0,109,0.6972,3.426989,7.994,4.118,-0.0395,13426.99
4h_h30_magnitude_0.001_ta_p1,4h,30,magnitude_0.001,ta,1,155,0.6645,3.355334,7.491,3.356,-0.0335,13355.33
4h_h30_magnitude_0.001_ta_p2,4h,30,magnitude_0.001,ta,2,135,0.6667,3.63255,8.175,3.76,-0.0395,13632.55
4h_h30_magnitude_0.001_ta_p3,4h,30,magnitude_0.001,ta,3,108,0.7593,3.897928,9.294,5.039,-0.0381,13897.93
4h_h30_magnitude_0.001_ta_p4,4h,30,magnitude_0.001,ta,4,173,0.4913,2.682007,5.934,2.568,-0.0444,12682.01
4h_h30_magnitude_0.001_more_lags_p0,4h,30,magnitude_0.001,more_lags,0,50,0.58,1.847388,4.514,2.716,-0.039,11847.39
4h_h30_magnitude_0.001_more_lags_p1,4h,30,magnitude_0.001,more_lags,1,66,0.5303,1.807411,4.138,2.366,-0.0403,11807.41
4h_h30_magnitude_0.001_more_lags_p2,4h,30,magnitude_0.001,more_lags,2,70,0.5429,1.908202,4.455,2.551,-0.0358,11908.2
4h_h30_magnitude_0.001_more_lags_p3,4h,30,magnitude_0.001,more_lags,3,71,0.6479,2.009806,4.433,2.387,-0.046,12009.81
4h_h30_magnitude_0.001_more_lags_p4,4h,30,magnitude_0.001,more_lags,4,120,0.575,2.759529,6.238,2.944,-0.0444,12759.53
4h_h30_magnitude_0.001_ta+lags_p0,4h,30,magnitude_0.001,ta+lags,0,52,0.5577,1.958037,4.678,2.76,-0.0395,11958.04
4h_h30_magnitude_0.001_ta+lags_p1,4h,30,magnitude_0.001,ta+lags,1,115,0.5652,2.210756,4.947,2.423,-0.0395,12210.76
