config,bar_size,horizon,target_type,features,params_idx,n_trades,win_rate,total_net_return,sharpe,profit_factor,max_drawdown,final_equity,score
4h_h30_magnitude_0.002_ta_p2,4h,30,magnitude_0.002,ta,2,122,0.7541,4.035381,9.433,5.08,-0.0395,14035.38,47.91964
4h_h30_magnitude_0.001_ta_p3,4h,30,magnitude_0.001,ta,3,108,0.7593,3.897928,9.294,5.039,-0.0381,13897.93,46.832466
4h_h30_binary_base_p1,4h,30,binary,base,1,124,0.7097,3.631482,8.92,4.773,-0.0472,13631.48,42.57516
4h_h30_magnitude_0.002_base_p0,4h,30,magnitude_0.002,base,0,146,0.7192,4.029565,8.888,4.637,-0.0344,14029.57,41.21365599999999
4h_h30_magnitude_0.002_base_p3,4h,30,magnitude_0.002,base,3,134,0.7239,3.933418,8.897,4.625,-0.0395,13933.42,41.148625
4h_h30_binary_ta_p2,4h,30,binary,ta,2,135,0.7407,4.458993,9.02,4.287,-0.0514,14458.99,38.66874
4h_h30_binary_ta_p1,4h,30,binary,ta,1,94,0.7447,3.44529,8.583,4.443,-0.0472,13445.29,38.134268999999996
4h_h30_binary_ta_p3,4h,30,binary,ta,3,106,0.7453,3.544947,8.615,4.373,-0.0472,13544.95,37.673395
4h_h30_magnitude_0.002_ta_p3,4h,30,magnitude_0.002,ta,3,82,0.7317,3.49051,8.236,4.482,-0.0372,13490.51,36.913752
4h_h30_binary_base_p3,4h,30,binary,base,3,127,0.7165,3.523065,8.519,4.121,-0.0543,13523.07,35.106799
