config,bar_size,horizon,target_type,threshold,max_hold,n_trades,win_rate,total_net_return,sharpe,profit_factor,max_drawdown,final_equity
4h_h30_binary_t0.52_hold5,4h,30,binary,0.52,5,1621,0.401,-7.637753,-9.747,0.65,-0.7634,2362.25
4h_h30_binary_t0.52_hold10,4h,30,binary,0.52,10,868,0.4712,-1.364411,-1.924,0.895,-0.2478,8635.59
4h_h30_binary_t0.52_hold15,4h,30,binary,0.52,15,585,0.5162,1.049439,1.554,1.123,-0.2088,11049.44
4h_h30_binary_t0.52_hold30,4h,30,binary,0.52,30,355,0.5662,2.91063,4.782,1.591,-0.1696,12910.63
4h_h30_binary_t0.52_hold60,4h,30,binary,0.52,60,219,0.5616,2.743696,5.252,2.007,-0.0823,12743.7
4h_h30_binary_t0.54_hold5,4h,30,binary,0.54,5,1554,0.4041,-6.950391,-8.892,0.673,-0.6945,3049.61
4h_h30_binary_t0.54_hold10,4h,30,binary,0.54,10,823,0.4666,-0.856051,-1.224,0.93,-0.2335,9143.95
4h_h30_binary_t0.54_hold15,4h,30,binary,0.54,15,547,0.5247,1.238352,1.835,1.15,-0.2016,11238.35
4h_h30_binary_t0.54_hold30,4h,30,binary,0.54,30,318,0.5849,3.078201,5.136,1.666,-0.1622,13078.2
4h_h30_binary_t0.54_hold60,4h,30,binary,0.54,60,182,0.5989,3.033442,5.884,2.262,-0.0823,13033.44
4h_h30_binary_t0.56_hold5,4h,30,binary,0.56,5,1478,0.4134,-6.216806,-8.037,0.692,-0.6211,3783.19
4h_h30_binary_t0.56_hold10,4h,30,binary,0.56,10,785,0.4815,-0.666607,-0.949,0.945,-0.224,9333.39
4h_h30_binary_t0.56_hold15,4h,30,binary,0.56,15,518,0.5444,1.329352,2.003,1.17,-0.1954,11329.35
4h_h30_binary_t0.56_hold30,4h,30,binary,0.56,30,295,0.6068,3.08421,5.129,1.694,-0.1569,13084.21
4h_h30_binary_t0.56_hold60,4h,30,binary,0.56,60,162,0.6667,3.099083,6.006,2.366,-0.0707,13099.08
4h_h30_binary_t0.58_hold5,4h,30,binary,0.58,5,1286,0.4285,-4.398268,-6.742,0.727,-0.4389,5601.73
4h_h30_binary_t0.58_hold10,4h,30,binary,0.58,10,699,0.475,-0.089425,-0.132,0.992,-0.2266,9910.58
4h_h30_binary_t0.58_hold15,4h,30,binary,0.58,15,468,0.5342,1.166545,2.013,1.172,-0.1728,11166.55
4h_h30_binary_t0.58_hold30,4h,30,binary,0.58,30,268,0.6045,2.64938,4.831,1.688,-0.1472,12649.38
4h_h30_binary_t0.58_hold60,4h,30,binary,0.58,60,148,0.7095,3.209664,6.236,2.461,-0.0706,13209.66
4h_h30_binary_t0.6_hold5,4h,30,binary,0.6,5,1094,0.436,-4.237172,-6.839,0.701,-0.4228,5762.83
4h_h30_binary_t0.6_hold10,4h,30,binary,0.6,10,616,0.487,-0.353091,-0.532,0.964,-0.2135,9646.91
4h_h30_binary_t0.6_hold15,4h,30,binary,0.6,15,411,0.5353,1.342403,2.296,1.216,-0.1694,11342.4
4h_h30_binary_t0.6_hold30,4h,30,binary,0.6,30,244,0.623,2.543957,4.586,1.666,-0.1451,12543.96
4h_h30_binary_t0.6_hold60,4h,30,binary,0.6,60,143,0.6643,2.98308,5.649,2.303,-0.0708,12983.08
4h_h30_binary_t0.65_hold5,4h,30,binary,0.65,5,443,0.4853,-0.960358,-2.372,0.831,-0.1868,9039.64
4h_h30_binary_t0.65_hold10,4h,30,binary,0.65,10,265,0.5434,0.703712,1.671,1.189,-0.0754,10703.71
4h_h30_binary_t0.65_hold15,4h,30,binary,0.65,15,198,0.5657,1.272588,3.254,1.455,-0.0685,11272.59
4h_h30_binary_t0.65_hold30,4h,30,binary,0.65,30,120,0.65,1.231828,3.781,1.703,-0.0642,11231.83
4h_h30_binary_t0.65_hold60,4h,30,binary,0.65,60,79,0.7215,1.590305,4.556,2.075,-0.0539,11590.3
4h_h30_binary_t0.7_hold5,4h,30,binary,0.7,5,148,0.5541,-0.131021,-0.998,0.94,-0.1083,9868.98
4h_h30_binary_t0.7_hold10,4h,30,binary,0.7,10,92,0.5,0.139213,1.305,1.102,-0.0677,10139.21
4h_h30_binary_t0.7_hold15,4h,30,binary,0.7,15,66,0.5303,0.468493,3.42,1.339,-0.0792,10468.49
4h_h30_binary_t0.7_hold30,4h,30,binary,0.7,30,36,0.6111,0.311702,5.339,1.721,-0.0236,10311.7
4h_h30_binary_t0.7_hold60,4h,30,binary,0.7,60,26,0.5385,-0.329798,-3.436,0.615,-0.0726,9670.2
4h_h30_binary_t0.75_hold5,4h,30,binary,0.75,5,96,0.5729,-0.194772,-2.009,0.867,-0.0892,9805.23
4h_h30_binary_t0.75_hold10,4h,30,binary,0.75,10,61,0.5246,0.14587,1.78,1.166,-0.0459,10145.87
4h_h30_binary_t0.75_hold15,4h,30,binary,0.75,15,45,0.4667,-0.013336,-0.132,0.987,-0.0587,9986.66
4h_h30_binary_t0.75_hold30,4h,30,binary,0.75,30,24,0.4583,0.055867,1.299,1.154,-0.0198,10055.87
4h_h30_binary_t0.75_hold60,4h,30,binary,0.75,60,16,0.1875,-0.799692,-10.409,0.196,-0.0771,9200.31
4h_h30_magnitude_0.002_t0.52_hold5,4h,30,magnitude_0.002,0.52,5,1591,0.384,-8.08525,-10.349,0.63,-0.8094,1914.75
4h_h30_magnitude_0.002_t0.52_hold10,4h,30,magnitude_0.002,0.52,10,833,0.4622,-1.738498,-2.549,0.859,-0.2725,8261.5
4h_h30_magnitude_0.002_t0.52_hold15,4h,30,magnitude_0.002,0.52,15,584,0.4983,0.214453,0.324,1.024,-0.226,10214.45
4h_h30_magnitude_0.002_t0.52_hold30,4h,30,magnitude_0.002,0.52,30,345,0.5652,2.185931,3.639,1.423,-0.177,12185.93
4h_h30_magnitude_0.002_t0.52_hold60,4h,30,magnitude_0.002,0.52,60,216,0.6019,2.925618,5.416,2.014,-0.0862,12925.62
4h_h30_magnitude_0.002_t0.54_hold5,4h,30,magnitude_0.002,0.54,5,1558,0.387,-8.018441,-10.346,0.628,-0.8027,1981.56
4h_h30_magnitude_0.002_t0.54_hold10,4h,30,magnitude_0.002,0.54,10,810,0.4642,-1.764883,-2.619,0.854,-0.2678,8235.12
4h_h30_magnitude_0.002_t0.54_hold15,4h,30,magnitude_0.002,0.54,15,561,0.5027,0.163517,0.25,1.019,-0.2218,10163.52
4h_h30_magnitude_0.002_t0.54_hold30,4h,30,magnitude_0.002,0.54,30,321,0.5794,2.116826,3.563,1.423,-0.1779,12116.83
4h_h30_magnitude_0.002_t0.54_hold60,4h,30,magnitude_0.002,0.54,60,191,0.6283,2.82283,5.31,2.044,-0.0862,12822.83
4h_h30_magnitude_0.002_t0.56_hold5,4h,30,magnitude_0.002,0.56,5,1462,0.4001,-7.252043,-9.399,0.647,-0.7264,2747.96
4h_h30_magnitude_0.002_t0.56_hold10,4h,30,magnitude_0.002,0.56,10,757,0.4795,-1.376777,-2.044,0.881,-0.2382,8623.22
4h_h30_magnitude_0.002_t0.56_hold15,4h,30,magnitude_0.002,0.56,15,519,0.5202,0.653462,1.016,1.081,-0.17,10653.46
4h_h30_magnitude_0.002_t0.56_hold30,4h,30,magnitude_0.002,0.56,30,291,0.6048,2.366259,3.984,1.503,-0.1601,12366.26
4h_h30_magnitude_0.002_t0.56_hold60,4h,30,magnitude_0.002,0.56,60,165,0.6788,3.171518,6.055,2.333,-0.0694,13171.52
4h_h30_magnitude_0.002_t0.58_hold5,4h,30,magnitude_0.002,0.58,5,1338,0.4021,-5.726007,-8.565,0.672,-0.5745,4273.99
4h_h30_magnitude_0.002_t0.58_hold10,4h,30,magnitude_0.002,0.58,10,694,0.4827,-1.145607,-1.705,0.895,-0.2363,8854.39
4h_h30_magnitude_0.002_t0.58_hold15,4h,30,magnitude_0.002,0.58,15,480,0.5042,0.625355,1.058,1.085,-0.163,10625.35
4h_h30_magnitude_0.002_t0.58_hold30,4h,30,magnitude_0.002,0.58,30,262,0.5992,2.192423,3.963,1.523,-0.1566,12192.42
4h_h30_magnitude_0.002_t0.58_hold60,4h,30,magnitude_0.002,0.58,60,142,0.7113,3.373716,6.579,2.562,-0.0694,13373.72
4h_h30_magnitude_0.002_t0.6_hold5,4h,30,magnitude_0.002,0.6,5,1146,0.4075,-4.729381,-7.633,0.683,-0.4743,5270.62
4h_h30_magnitude_0.002_t0.6_hold10,4h,30,magnitude_0.002,0.6,10,612,0.4869,-0.850163,-1.292,0.914,-0.218,9149.84
4h_h30_magnitude_0.002_t0.6_hold15,4h,30,magnitude_0.002,0.6,15,421,0.4893,1.004903,1.756,1.155,-0.1514,11004.9
4h_h30_magnitude_0.002_t0.6_hold30,4h,30,magnitude_0.002,0.6,30,233,0.588,2.122969,3.932,1.548,-0.15,12122.97
4h_h30_magnitude_0.002_t0.6_hold60,4h,30,magnitude_0.002,0.6,60,131,0.687,3.101497,5.946,2.376,-0.0723,13101.5
4h_h30_magnitude_0.002_t0.65_hold5,4h,30,magnitude_0.002,0.65,5,375,0.5173,-0.836081,-2.291,0.832,-0.15,9163.92
4h_h30_magnitude_0.002_t0.65_hold10,4h,30,magnitude_0.002,0.65,10,224,0.5089,0.052884,0.148,1.015,-0.1211,10052.88
4h_h30_magnitude_0.002_t0.65_hold15,4h,30,magnitude_0.002,0.65,15,167,0.5509,0.657483,1.99,1.253,-0.0717,10657.48
4h_h30_magnitude_0.002_t0.65_hold30,4h,30,magnitude_0.002,0.65,30,100,0.62,0.347482,1.107,1.179,-0.0771,10347.48
4h_h30_magnitude_0.002_t0.65_hold60,4h,30,magnitude_0.002,0.65,60,60,0.6333,0.4577,1.45,1.278,-0.0644,10457.7
4h_h30_magnitude_0.002_t0.7_hold5,4h,30,magnitude_0.002,0.7,5,152,0.5263,-0.48496,-3.909,0.786,-0.0999,9515.04
4h_h30_magnitude_0.002_t0.7_hold10,4h,30,magnitude_0.002,0.7,10,89,0.4607,-0.290859,-2.342,0.838,-0.0943,9709.14
4h_h30_magnitude_0.002_t0.7_hold15,4h,30,magnitude_0.002,0.7,15,63,0.5079,0.102285,0.953,1.083,-0.0627,10102.28
4h_h30_magnitude_0.002_t0.7_hold30,4h,30,magnitude_0.002,0.7,30,33,0.4545,-0.224104,-3.562,0.664,-0.029,9775.9
4h_h30_magnitude_0.002_t0.7_hold60,4h,30,magnitude_0.002,0.7,60,20,0.3,-0.681132,-10.619,0.196,-0.0607,9318.87
4h_h30_magnitude_0.002_t0.75_hold5,4h,30,magnitude_0.002,0.75,5,93,0.5376,-0.173449,-1.744,0.88,-0.0826,9826.55
4h_h30_magnitude_0.002_t0.75_hold10,4h,30,magnitude_0.002,0.75,10,62,0.5,-0.084222,-0.698,0.939,-0.0823,9915.78
4h_h30_magnitude_0.002_t0.75_hold15,4h,30,magnitude_0.002,0.75,15,44,0.4773,0.019157,0.182,1.018,-0.071,10019.16
4h_h30_magnitude_0.002_t0.75_hold30,4h,30,magnitude_0.002,0.75,30,25,0.44,-0.428566,-6.648,0.471,-0.0446,9571.43
4h_h30_magnitude_0.002_t0.75_hold60,4h,30,magnitude_0.002,0.75,60,17,0.1765,-0.861081,-11.858,0.167,-0.0748,9138.92
4h_h30_magnitude_0.001_t0.52_hold5,4h,30,magnitude_0.001,0.52,5,1554,0.4118,-7.257692,-9.354,0.659,-0.7258,2742.31
4h_h30_magnitude_0.001_t0.52_hold10,4h,30,magnitude_0.001,0.52,10,818,0.4756,-0.993149,-1.465,0.915,-0.2082,9006.85
4h_h30_magnitude_0.001_t0.52_hold15,4h,30,magnitude_0.001,0.52,15,566,0.5265,0.876145,1.309,1.104,-0.1748,10876.15
4h_h30_magnitude_0.001_t0.52_hold30,4h,30,magnitude_0.001,0.52,30,339,0.5929,2.588166,4.283,1.522,-0.1413,12588.17
4h_h30_magnitude_0.001_t0.52_hold60,4h,30,magnitude_0.001,0.52,60,212,0.6179,3.083326,5.762,2.089,-0.0715,13083.33
4h_h30_magnitude_0.001_t0.54_hold5,4h,30,magnitude_0.001,0.54,5,1501,0.4177,-6.734445,-8.64,0.677,-0.6734,3265.56
